dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
19,19,105,12,random_forest,0.1701153506188817,1.8440527636767234,0.11428571428571428,5.0,0.24885857447345408,2.3176028118111756,4.383216335233725,0.16666666666666666,8.75,3.6329107829524427,0.5287447925354555,12.0,0.0,10.0,6.0,105.0,2.0,2.4876045867687075,0.2
21,21,600,6,random_forest,0.002606859357329574,1.7898758984719843,0.01,0.0,0.05701884513496649,1.2081241799157996,10.226803372614624,0.25,100.0,2.8798669593771145,0.11813311901066952,6.0,0.0,6.0,4.0,600.0,0.0,14.151347170562108,0.0
23,cmc,600,9,random_forest,0.03424023247187277,1.5136167427741654,0.015,0.0,0.019415015787286362,1.5395080108568922,45.46400957287001,0.3333333333333333,66.66666666666667,3.0192626278458388,0.03386212578521827,9.0,3.0,0.0,3.0,600.0,9.0,43.69940110596658,0.0
25,colic,368,27,random_forest,0.03126050719498301,1.51959198061524,0.07336956521739131,0.0,0.035578875358522014,0.9503376699710266,16.721300503798414,0.5,13.62962962962963,2.413095693816269,0.05683395676999811,27.0,4.0,0.0,2.0,368.0,27.0,25.737395511012746,0.0
27,colic,368,22,logreg,0.04471441508230687,1.9215924799496953,0.059782608695652176,2.142857142857143,0.03466971785777964,0.9503376699710266,15.04332736988569,0.5,16.727272727272727,2.8087567809841754,0.06317336893654585,22.0,1.0,15.0,2.0,368.0,7.0,29.417761665992966,0.4666666666666667
29,creditapproval,600,15,knn,0.0403238838519123,1.8479511405285993,0.025,1.5,0.07201634489927809,0.9912540071703688,10.160918356560774,0.5,40.0,2.7416495949048323,0.09755555279413586,15.0,3.0,9.0,2.0,600.0,6.0,17.942552090583625,0.6666666666666666
31,creditg,600,20,logreg,0.019465450269008516,1.6377052753889791,0.03333333333333333,1.8571428571428572,0.008687186978074763,0.8812908992306927,46.70293425033886,0.5,30.0,2.500126034801331,0.018870139818341247,20.0,3.0,13.0,2.0,600.0,7.0,85.78818976196327,0.5384615384615384
33,33,540,39,random_forest,0.09632361596478148,2.000222702111056,0.07222222222222222,0.625,0.05986410344434413,0.9824740868386409,13.731108064022154,0.5,13.846153846153847,2.911145819992363,0.07155096895733351,39.0,1.0,15.0,2.0,540.0,24.0,26.955214740750844,1.6
34,postoperativepatientdata,90,8,knn,0.018078323631814136,1.0645141489545495,0.08888888888888889,7.0,0.011887526415060624,0.9803075405818109,57.88448706838228,0.3333333333333333,11.25,2.0278861064426774,0.016935583093683065,8.0,2.0,7.0,3.0,90.0,1.0,61.856657669591016,0.14285714285714285
35,dermatology,366,34,random_forest,0.11898465445469797,1.1841884411200383,0.09289617486338798,0.0,0.4186989879465414,2.432597273889607,5.595496003360095,0.16666666666666666,10.764705882352942,3.18204368813145,0.43474202687819496,34.0,1.0,0.0,6.0,366.0,34.0,1.7238876572929573,0.0
37,diabetes,600,8,logreg,0.030042416195932287,2.8465408255340336,0.013333333333333334,0.0,0.014204370443903158,0.9325707665757489,12.616914575724946,0.5,75.0,3.7051972637707427,0.07391432833903966,8.0,0.0,0.0,2.0,600.0,8.0,37.511353475027974,0.0
39,ecoli,336,7,knn,0.04676261379505285,1.8753794109758803,0.020833333333333332,0.0,0.2917763983844141,2.1887455831912255,4.5188794450455525,0.125,48.0,3.57976916883281,0.4843558253342963,7.0,2.0,0.0,8.0,336.0,7.0,2.8719043167933767,0.0
40,sonar,208,60,random_forest,0.04068008654531494,2.321727773988792,0.28846153846153844,0.0,0.017159763836213034,0.9967295890208366,19.482238313578623,0.5,3.466666666666667,3.2672964248782974,0.051160938131330706,60.0,0.0,0.0,2.0,208.0,60.0,44.380867880664944,0.0
41,glass,214,9,random_forest,0.08646069983674641,2.0168573913192267,0.04205607476635514,0.0,0.17215668455304825,2.1765339923982006,6.175966711718478,0.16666666666666663,23.77777777777778,3.840971415476929,0.3524199682404983,9.0,0.0,0.0,6.0,214.0,9.0,4.7228805773652525,0.0
43,haberman,306,3,logreg,0.013718040764317806,2.409563246320309,0.00980392156862745,0.0,0.018076855093393737,0.833764907210665,18.821473436985052,0.5,102.0,3.199029554380268,0.044298599150706185,3.0,0.0,0.0,2.0,306.0,3.0,53.393666899552436,0.0
48,tae,151,5,random_forest,0.22089174753768562,1.2794393477715331,0.033112582781456956,0.0,0.21463532354455445,1.5845209168501238,51.194343374607335,0.3333333333333333,30.2,2.833009170957742,0.03095109366391551,5.0,2.0,0.0,3.0,151.0,5.0,40.337451970660865,0.0
49,heartc,303,13,knn,0.031273760574064495,1.6949270921777608,0.0429042904290429,1.1666666666666667,0.08059721275037166,0.9942646092619051,9.689261473177543,0.5,23.307692307692307,2.5865765937749288,0.10261510766473733,13.0,3.0,7.0,2.0,303.0,6.0,15.51732508740724,0.8571428571428571
50,tictactoe,600,9,random_forest,0.015987764172822973,1.537612918255168,0.015,0.0,0.017446982628532594,0.9310558233850329,45.010458925965004,0.5,66.66666666666667,2.447983419926053,0.020685321714148053,9.0,0.0,9.0,2.0,600.0,0.0,73.333526908769,0.0
51,hearth,294,13,logreg,0.08975002030547387,1.3786074181104075,0.04421768707482993,1.1666666666666667,0.12573270901008846,0.9431340036829803,9.442092794620818,0.5,22.615384615384617,2.221855302879127,0.09988611891426082,13.0,1.0,7.0,2.0,294.0,6.0,12.801791811470439,0.8571428571428571
53,heartstatlog,270,13,logreg,0.03871490649503225,1.6467194570283366,0.04814814814814815,0.0,0.0827464198731635,0.9910760598382222,10.038572325929819,0.5,20.76923076923077,2.5390687230894944,0.09872679377706474,13.0,3.0,0.0,2.0,270.0,13.0,15.67955976314595,0.0
